************************************************************************											
pyfao56: FAO-56 Evapotranspiration in Python											
Weather Data											
Timestamp: 05/08/2024 02:54:14											
************************************************************************											
 Data for the OK004 site from 2022-11-01 00:00:00 to 2023-01-01 00:00:00											
************************************************************************											
           S Reference crop - Short ('S') or Tall ('T')											
 338.9000000 Weather station elevation (z) (m)											
  35.0526000 Weather station latitude (decimal degrees)											
   2.0000000 Wind speed measurement height (m)											
											
Daily weather data:											
Year Day Srad Tmax Vapr Tdew RHmax RHmin Wndsp ETref MorP
2021 357 2289.5 17.92 8.18979166666667 4.34904166666666 100 32.03 2.29708333333333 222.613367218052 M
2021 358 2484 27.03 10.5058333333333 9.48041666666667 63.25 27.63 7.71391666666667 222.174258205459 M
2021 359 2416.55 23.22 8.75958333333333 6.60808333333333 70.58 33.15 2.78616666666667 221.720552078485 M
2021 360 1765.65 25.6 11.4058333333333 8.39479166666667 93.6 43.8 3.02029166666667 221.252226446039 M
2021 361 2575.95 21.15 6.803125 1.95829166666667 88.8 18.78 2.83466666666667 220.769259951738 M
2021 362 2983.2 21.25 6.03895833333333 1.93558333333333 65.88 19.35 4.01416666666667 220.271632493495 M
2021 363 2801.7 20.65 6.26375 0.0667083333333292 88.3 24.53 2.18470833333333 219.759325449735 M
2021 364 2692.7 19.63 5.53020833333333 -0.544833333333332 91.2 24.85 2.7385 219.232321914186 M
2021 365 736.35 16.65 8.968125 4.816 93.8 42.15 4.16166666666667 218.69060693354 M
2022 001 780 14.58 6.94791666666667 -1.52708333333333 100 80.8 6.40883333333333 218.134167754106 M
2022 002 3268.7 0.25 2.83229166666667 -11.4091666666667 88.2 56.18 3.95333333333333 217.562994071597 M
2022 003 3295.4 11.35 4.184375 -5.66095833333333 99.6 37.45 1.92466666666667 216.977078285684 M
2022 004 2847.4 14.35 4.48125 -4.28391666666667 76.18 30.98 3.86279166666667 216.376415761422 M
2022 005 3235.55 7.875 4.15729166666667 -5.67358333333333 84.5 32.58 3.80975 215.761005090916 M
2022 006 2730.2 -0.775 2.44375 -13.5037916666667 70.55 51.78 6.174125 215.130848362116 M
2022 007 3211.4 3.9 3.04583333333333 -10.7680833333333 84.8 45.1 2.7655 214.485951427984 M
2022 008 1229.6 14.1 10.909375 7.418375 98.3 74.1 6.15675 213.826324177816 M
2022 009 2540.8 12.33 5.895 -2.450625 96.3 36.3 6.33891666666667 213.151980812725 M
2022 010 3421.8 13.1 3.06354166666667 -8.35529166666667 83.4 18.5 1.43104166666667 212.462940119769 M
2022 011 3410.95 15.48 3.846875 -5.473 83.5 24.22 3.717625 211.759225746395 M
2022 012 3370.75 17.78 5.98229166666667 -0.184041666666671 92.6 28.8 2.322625 211.040866477605 M
2022 013 3346 20.78 5.52395833333333 -0.698583333333333 92.3 26.1 1.76766666666667 210.307896507803 M
2022 014 1656.15 17.83 6.43333333333333 0.832125 91.6 34.18 3.47825 209.560355715551 M
2022 015 725.6 4.85 3.73854166666667 -8.05975 72.55 57.88 9.62783333333333 208.798289933066 M
2022 016 3537.95 12.18 3.70833333333333 -6.68354166666667 98.4 26.08 2.26941666666667 208.021751212642 M
2022 017 3537.25 15.83 4.46041666666667 -4.31754166666667 88.3 30.83 2.1445 207.230798092664 M
2022 018 3545.9 21.83 4.72604166666667 -1.47566666666666 61.35 18.35 3.20408333333333 206.425495854341 M
2022 019 692.45 4.925 3.825 -7.69695833333333 73.88 38.18 6.58583333333333 205.605916778314 M
2022 020 2169.6 -3.275 1.60576923076923 -18.2025384615385 45.78 25.3 6.40523076923077 204.772140392155 M
2022 021 3246.6 4.375 1.98055555555556 -12.7953333333333 51.6 22.9 2.38277777777778 203.924253711263 M
2022 022 3267.35 10.23 2.99791666666667 -7.49791666666667 44.6 24.43 2.91091666666667 203.062351475763 M
2022 023 3264.95 15.7 5.01316666666667 -1.63391666666667 66.18 31.2 1.61633333333333 202.186536376376 M
2022 024 3731.25 18.95 5.19230769230769 -0.0377692307692303 96.8 21.88 2.09761538461538 201.296919271616 M
2022 025 3592.2 6.85 3.42692307692308 -7.69407692307692 75.05 32.1 4.77430769230769 200.393619399513 M
2022 026 1369.6 1.55 2.12954545454545 -13.3464545454545 40.47 33 1.75136363636364 199.476764573843 M
2022 027 3192.4 3.575 5.39821428571428 -2.42107142857143 95.9 76.9 2.52792857142857 198.546491375524 M
2022 028 3991.3 11.48 4.62875 -3.724 92.1 28.85 2.96495 197.602945329121 M
2022 029 4061.85 20.45 4.21391666666667 -667.239416666667 98.6 12.88 4.06672727272727 196.646281067549 M
2022 030 4063.1 18.73 4.025 -2.59157142857143 82.6 17.63 1.74914285714286 195.676662488541 M
2022 031 3716.85 21.95 7.50961538461539 4.55746153846154 78.07 28.83 3.60184615384615 194.694262892266 M
2022 032 2288.5 17.67 11.7342857142857 8.81235714285715 88.4 58.9 5.40278571428571 193.69926511174 M
2022 033 307.47 6.725 5.2635 -3.410875 87.6 80.9 6.97425 192.691861625364 M
2022 035 3264.2 -0.3 2.84285714285714 -11.9395714285714 56.53 40.1 3.05571428571429 190.640656254078 M
